"num_ciiuv4","desc_seccion","desc_propuesta","desc_v2","desc_sector_01","p_fecinformacion"
"1010","Industrias manufactureras","INDUSTRIA","Elaboración y conservación de carne","Industria","20260128"
"1020","Industrias manufactureras","INDUSTRIA","Elaboración y conservación de pescado, crustáceos y moluscos","Industria","20260128"
"1030","Industrias manufactureras","INDUSTRIA","Elaboración y conservación de frutas, legumbres y hortalizas","Industria","20260128"
"1040","Industrias manufactureras","INDUSTRIA","Elaboración de aceites y grasas de origen vegetal y animal","Industria","20260128"
"1050","Industrias manufactureras","INDUSTRIA","Elaboración de productos lácteos","Industria","20260128"
"1061","Industrias manufactureras","INDUSTRIA","Elaboración de productos de molinería","Industria","20260128"
"1062","Industrias manufactureras","INDUSTRIA","Elaboración de almidones y productos derivados del almidón","Industria","20260128"
"1071","Industrias manufactureras","INDUSTRIA","Elaboración de productos de panadería","Industria","20260128"
"1072","Industrias manufactureras","INDUSTRIA","Elaboración de azúcar","Industria","20260128"
"1073","Industrias manufactureras","INDUSTRIA","Elaboración de cacao y chocolate y de productos de confitería","Industria","20260128"
"1074","Industrias manufactureras","INDUSTRIA","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares","Industria","20260128"
"1075","Industrias manufactureras","INDUSTRIA","Elaboración de comidas y platos preparados","Industria","20260128"
"1079","Industrias manufactureras","INDUSTRIA","Elaboración de otros productos alimenticios n.c.p.","Industria","20260128"
"1080","Industrias manufactureras","INDUSTRIA","Elaboración de piensos preparados para animales","Industria","20260128"
"1101","Industrias manufactureras","INDUSTRIA","Destilación, rectificación y mezcla de bebidas alcohólicas","Industria","20260128"
"1102","Industrias manufactureras","INDUSTRIA","Elaboración de vinos","Industria","20260128"
"1103","Industrias manufactureras","INDUSTRIA","Elaboración de bebidas malteadas y de malta","Industria","20260128"
"1104"," PRODUCCION de aguas minerales y otras aguas embotelladas","INDUSTRIA","Elaboración de bebidas no alcohólicas","Industria","20260128"
"1200","Industrias manufactureras","INDUSTRIA","Elaboración de productos de tabaco","Industria","20260128"
"1311","Industrias manufactureras","TEXTIL","Preparación e hilatura de fibras textiles","Textil","20260128"
"1312","Industrias manufactureras","TEXTIL","Tejedura de productos textiles","Textil","20260128"
"1313","Industrias manufactureras","TEXTIL","Acabado de productos textiles","Textil","20260128"
"1391","Industrias manufactureras","TEXTIL","Fabricación de tejidos de punto y ganchillo","Textil","20260128"
"1392","Industrias manufactureras","TEXTIL","Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir","Textil","20260128"
"1393","Industrias manufactureras","TEXTIL","Fabricación de tapices y alfombras","Textil","20260128"
"1394","Industrias manufactureras","TEXTIL","Fabricación de cuerdas, cordeles, bramantes y redes","Textil","20260128"
"1399","Industrias manufactureras","TEXTIL","Fabricación de otros productos textiles n.c.p.","Textil","20260128"
"1410","Industrias manufactureras","TEXTIL","Fabricación de prendas de vestir, excepto prendas de piel","Textil","20260128"
"1420","Industrias manufactureras","INDUSTRIA","Fabricación de artículos de piel","Industria","20260128"
"1430","Industrias manufactureras","INDUSTRIA","Fabricación de artículos de punto y ganchillo","Industria","20260128"
"1511"," adobo y tenido de pieles"," FABRICACION de maletas, bolsos de mano y ARTICULOS de talabarterÃ­a y guarnicionerÃ­a","Curtido y adobo de cueros","Otros","20260128"
"1512","Industrias manufactureras"," adobo y tenido de pieles","Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería","Textil","20260128"
"1520","Industrias manufactureras","INDUSTRIA","Fabricación de calzado","Industria","20260128"
"1610","Industrias manufactureras","INDUSTRIA","Aserrado y acepilladura de madera","Industria","20260128"
"1621","Industrias manufactureras","INDUSTRIA","Fabricación de hojas de madera para enchapado y tableros a base de madera","Industria","20260128"
"1622","Industrias manufactureras","INDUSTRIA","Fabricación de partes y piezas de carpintería para edificios y construcciones","Industria","20260128"
"1623","Industrias manufactureras","INDUSTRIA","Fabricación de recipientes de madera","Industria","20260128"
"1629"," FABRICACION de ARTICULOS de corcho, paja y materiales trenzables","INDUSTRIA","Fabricación de otros productos de madera","Industria","20260128"
"1701","Industrias manufactureras","INDUSTRIA","Fabricación de pasta de madera, papel y cartón","Industria","20260128"
"1702","Industrias manufactureras","INDUSTRIA","Fabricación de papel y cartón ondulado y de envases de papel y cartón","Industria","20260128"
"1709","Industrias manufactureras","INDUSTRIA","Fabricación de otros artículos de papel y cartón","Industria","20260128"
"1811","Industrias manufactureras","INDUSTRIA","Impresión","Industria","20260128"
"1812","Industrias manufactureras","INDUSTRIA","Actividades de servicios relacionadas con la impresión","Industria","20260128"
"1820","Industrias manufactureras","INDUSTRIA","Reproducción de grabaciones","Industria","20260128"
"1910","Industrias manufactureras","INDUSTRIA","Fabricación de productos de hornos de coque","Industria","20260128"
"1920","Industrias manufactureras","INDUSTRIA","Fabricación de productos de la refinación del petróleo","Industria","20260128"
"2011","Industrias manufactureras","INDUSTRIA","Fabricación de sustancias químicas básicas","Industria","20260128"
"2012","Industrias manufactureras","INDUSTRIA","Fabricación de abonos y compuestos de nitrógeno","Industria","20260128"
"2013","Industrias manufactureras","INDUSTRIA","Fabricación de plásticos y caucho sintético en formas primarias","Industria","20260128"
"2021","Industrias manufactureras","AGROPECUARIO","Fabricación de plaguicidas y otros productos químicos de uso agropecuario","Agropecuario","20260128"
"2022","Industrias manufactureras","INDUSTRIA","Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas","Industria","20260128"
"2023","Industrias manufactureras","INDUSTRIA","Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador","Industria","20260128"
"2029","Industrias manufactureras","INDUSTRIA","Fabricación de otros productos químicos n.c.p.","Industria","20260128"
"2030","Industrias manufactureras","INDUSTRIA","Fabricación de fibras artificiales","Industria","20260128"
"2100","Industrias manufactureras","INDUSTRIA","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico","Industria","20260128"
"2211"," recauchutado y RENOVACION de cubiertas de caucho","INDUSTRIA","Fabricación de cubiertas y cámaras de caucho","Industria","20260128"
"2219","Industrias manufactureras","INDUSTRIA","Fabricación de otros productos de caucho","Industria","20260128"
"2220","Industrias manufactureras","INDUSTRIA","Fabricación de productos de plástico","Industria","20260128"
"2310","Industrias manufactureras","INDUSTRIA","Fabricación de vidrio y productos de vidrio","Industria","20260128"
"2391","Industrias manufactureras","INDUSTRIA","Fabricación de productos refractarios","Industria","20260128"
"2392","Industrias manufactureras","INDUSTRIA","Fabricación de materiales de construcción de arcilla","Industria","20260128"
"2393","Industrias manufactureras","INDUSTRIA","Fabricación de otros productos de porcelana y de cerámica","Industria","20260128"
"2394","Industrias manufactureras","INDUSTRIA","Fabricación de cemento, cal y yeso","Industria","20260128"
"2395","Industrias manufactureras","INDUSTRIA","Fabricación de artículos de hormigón, cemento y yeso","Industria","20260128"
"2396","Industrias manufactureras","INDUSTRIA","Corte, talla y acabado de la piedra","Industria","20260128"
"2399","Industrias manufactureras","INDUSTRIA","Fabricación de otros productos minerales no metálicos n.c.p.","Industria","20260128"
"2410","Industrias manufactureras","INDUSTRIA","Industrias básicas de hierro y acero","Industria","20260128"
"2420","Industrias manufactureras","INDUSTRIA","Fabricación de productos primarios de metales preciosos y otros metales no ferrosos","Industria","20260128"
"2431","Industrias manufactureras","INDUSTRIA","Fundición de hierro y acero","Industria","20260128"
"2432","Industrias manufactureras","INDUSTRIA","Fundición de metales no ferrosos","Industria","20260128"
"2511","Industrias manufactureras","INDUSTRIA","Fabricación de productos metálicos para uso estructural","Industria","20260128"
"2512","Industrias manufactureras","INDUSTRIA","Fabricación de tanques, depósitos y recipientes de metal","Industria","20260128"
"2513","Industrias manufactureras","INDUSTRIA","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central","Industria","20260128"
"2520","Industrias manufactureras","INDUSTRIA","Fabricación de armas y municiones","Industria","20260128"
"2591"," pulvimetalurgia"," actividades de servicios de trabajo de metales","Forja, prensado, estampado y laminado de metales","Mineria","20260128"
"2592"," maquinado"," actividades de servicios de trabajo de metales","Tratamiento y revestimiento de metales","Mineria","20260128"
"2593","Industrias manufactureras","INDUSTRIA","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería","Industria","20260128"
"2599","Industrias manufactureras","INDUSTRIA","Fabricación de otros productos elaborados de metal n.c.p.","Industria","20260128"
"2610","Industrias manufactureras","INDUSTRIA","Fabricación de componentes y tableros electrónicos","Industria","20260128"
"2620","Industrias manufactureras","INDUSTRIA","Fabricación de ordenadores y equipo periférico","Industria","20260128"
"2630","Industrias manufactureras","INDUSTRIA","Fabricación de equipo de comunicaciones","Industria","20260128"
"2640","Industrias manufactureras","INDUSTRIA","Fabricación de aparatos electrónicos de consumo","Industria","20260128"
"2651","Industrias manufactureras","INDUSTRIA","Fabricación de equipo de medición, prueba, navegación y control","Industria","20260128"
"2652","Industrias manufactureras","INDUSTRIA","Fabricación de relojes","Industria","20260128"
"2660","Industrias manufactureras","INDUSTRIA","Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico","Industria","20260128"
"2670","Industrias manufactureras","INDUSTRIA","Fabricación de instrumentos ópticos y equipo fotográfico","Industria","20260128"
"2680","Industrias manufactureras","INDUSTRIA","Fabricación de soportes magnéticos y ópticos","Industria","20260128"
"2710","Industrias manufactureras","INDUSTRIA","Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica","Industria","20260128"
