"idseccion","cod_tienda","nombre_tienda","idseccion_zona","cod_zona","zona","idseccion_plaza","cod_plaza","plaza","idseccion_division","cod_division","division","estado","fecha_apertura","fecha_cierre","direccion_sbs","distrito","provincia","departamento","geoubicacion","centro_costos","n_resolucion_sbs","fecha_resolucion","cod_sbs","condicion","tipo_tienda","clasificacion_tienda","tipo_horario","horario","nombre_almacen","embozadora","atencion_feriados","grupo_campana","ubigeo","tienda_imagine","fecha_imagine","tipo_idseccion","active_controller","kiosko","latitud","longitud","metros_cuadrados","cod_sector_gt","asofdate","codpropositositio","descpropositositio","codclasificaciontienda","codtipohorario","codtipotienda","codgeoubicacion","usuariocreamodifi","fechacreamodifi","horacreamodifi","lote","cu_tienda","region_convenios","region_convnominas","plaza_convenios","zona_convenios","fecinformacion"
"04100","041","Rivera Navarrete","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","20091030","","AV. RIVERA NAVARRETE 665","SAN ISIDRO","LIMA","LIMA","Moderna 1","0410300000","SBS 14294-2009","20091030","002-154","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA RIVERA NAVARRETE","sin Embozadora","NO","Normal","140112","SI","19000101","T","1","2","-12.093828800000001","-77.026445499999994","546","43222","","","","","","","","","20210503","08:46:44.2470000",,"000041","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"40700","407","Chincha Real Plaza","90405","R3","Región Sur","40001","PICA","Plaza Ica","98900","TP","Tiendas Provincia","Cerrada","20110224","20190131","PANAMERICANA SUR (AV. OSCAR R. BENAVIDES) CON JIRON SIETE Y CALLE PILLCA","CHINCHA ALTA","CHINCHA","ICA","Centro","4070300000","SBS 15266-2010","20101118","002-490","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","MM VEA CHINCHA","con Embozadora","SI","Normal","100201","SI","20131021","T","1","1","-13.416536000000001","-76.141693000000004","173.87","42225","","","","","","","","","20210503","08:46:44.2470000",,"000407","Sur","03 SUR CENTRO","Chincha","PROVINCIA",
"61200","612","Trujillo Mall Plaza","","","","60001","PTRU","Plaza Trujillo","98900","TP","Tiendas Provincia","Activa","20071212","","AV. MANSICHE Y AMERICA OESTE LOCAL B-1253,  B-1257","TRUJILLO","TRUJILLO","LA LIBERTAD","Norte","6120300000","SBS 1682-2007","20071121","002-397","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA TRUJILLO MALL PLAZA","con Embozadora","NO","Normal","120101","SI","20131118","T","1","1","-8.1016344749999991","-79.044957190000005","266.42000000000002","4211L","","","","","","","","","20210503","08:46:44.2470000",,"000612","Norte","01 NORTE","Trujillo","PROVINCIA",
"24100","241","MM Vivanda Benavides","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","20051012","","AV. BENAVIDES # 487","MIRAFLORES","LIMA","LIMA","Moderna 1","2410300000","SBS 1439-2005","20050920","002-332","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM VIVANDA BENAVIDES","sin Embozadora","SI","Normal","140107","NO","19000101","T","0","","-12.124548000000001","-77.028062000000006","22.75","43331","","","","","","","","","20210503","08:46:44.2470000",,"000241","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"40200","402","Chincha","90405","R3","Región Sur","40001","PICA","Plaza Ica","98900","TP","Tiendas Provincia","Activa","19991215","","AV. MARISCAL BENAVIDES 288","CHINCHA ALTA","CHINCHA","ICA","Centro","4020300000","SBS 1105-1999","19991215","002-054","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA CHINCHA","sin Embozadora","NO","Normal","100201","SI","20131021","T","1","1","-13.417251","-76.135056000000006","328.10000000000002","42229","","","","","","","","","20210503","08:46:44.2470000",,"000402","Sur","03 SUR CENTRO","Ica","PROVINCIA",
"48200","482","Chorrillos Los Cedros","81300","Z7","Zona Sur","","","","82100","TL","Tiendas Lima","Activa","20091217","","AV ALAMEDA SUR ESQUINA CON AV ALAMEDA SAN MARCOS MZ II TIENDA N° 108 - CHORRILLOS","CHORRILLOS","LIMA","LIMA","Lima Sur","4820300000","SBS 12996-2009","20090915","002-466","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a V de 9:00 a.m. a 7:00 p.m. / S de 9:00 a.m. a 2:00 p.m.","MM Vea CHORRILLOS","con Embozadora","SI","Normal","140108","NO","19000101","T","1","1","-12.19667754","-77.011188399999995","150","43328","","","","","","","","","20210503","08:46:44.2470000",,"000482","Lima","00 LIMA","Zona Sur","LIMA",
"48600","486","MM Vea Centro Cívico","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","20091209","","AV GARCILAZO DE LA VEGA  CON AV ESPAÑA","LIMA - CERCADO","LIMA","LIMA","Lima Centro","4860300000","SBS 14279-2009","20091028","002-468","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea CENTRO CIVICO","con Embozadora","SI","Normal","140101","NO","19000101","T","0","","-12.057923649999999","-77.037776879999996","27.100000000000001","4334B","","","","","","","","","20210503","08:46:44.2470000",,"000486","Lima","00 LIMA","Zona Centro","LIMA",
"10000","100","Lima","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","19420501","","JR. DE LA UNION 600","LIMA - CERCADO","LIMA","LIMA","Lima Centro","1000300000","SBS 890-2006","20060706","002-111","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA LIMA","sin Embozadora","NO","Normal","140101","NO","19000101","T","0","","-12.04745458","-77.032400519999996","2343.0999999999999","43137","","","","","","","","","20210503","08:46:44.2470000",,"000100","Lima","00 LIMA","Zona Centro","LIMA",
"58800","588","Abancay","90405","R3","Región Sur","42001","PCUS","Plaza Cusco","98900","TP","Tiendas Provincia","Activa","20081230","","AV ARENALES N° 233-235-237. ESQ PARQUE MICAELA BASTIDAS 101","ABANCAY","ABANCAY","APURIMAC","Centro","5880300000","SBS 10680-2008","20081106","002-436","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA ABANCAY","sin Embozadora","NO","Normal","30101","NO","19000101","T","0","","-13.636044999999999","-72.875083000000004","412","4222W","","","","","","","","","20210503","08:46:44.2470000",,"000588","Sur","04 SUR","Cusco","PROVINCIA",
"63500","635","UPC Villa","81300","Z7","Zona Sur","","","","82100","TL","Tiendas Lima","Cerrada","20130520","20201231","AV. ALAMEDA SAN MARCOS S/N","CHORRILLOS","LIMA","LIMA","","6350300000","SBS 1313 - 2013","20130218","002-529","Alquilada","Tienda Cerrada","Cerrada","Cerrada","L a V de 9:00 am a 8:00pm / S de 9:00am a 12:30pm","TIENDA UPC - VILLA","","NO","Normal","140108","NO","19000101","T","0","","-12.197485","-77.008591999999993","35","4323G","","","","","","","","","20210503","08:46:44.2470000",,"000635","Lima","00 LIMA","Zona Sur","LIMA",
