"mone_co_ib","mone_no_ib","mone_co_iso","mone_no_iso","mone_fl_iso","p_fecinformacion"
"0001","NUEVO SOL           ","PSS","PER NUEVO SOL       ","1","20260819"
"0002","BOLIVAR             ","VEB","BOLIVAR VENEZUELA   ","1","20260819"
"0003","CORONA DINAMARCA    ","DKK","CORONA DANESA       ","1","20260819"
"0005","CORONA SUECIA       ","SEK","CORONA SUECA        ","1","20260819"
"0007","CRUZEIRO BRASIL     ","BRL","BRAZIL REAL         ","1","20260819"
"0010","DOLAR US$           ","USD","DOLAR AMERICANO     ","1","20260819"
"0011","DOLAR AUSTRIALIANO  ","AUD","DOLAR AUSTRALIANO   ","1","20260819"
"0012","DOLAR CANADA        ","CAD","DOLAR CANADIENSE    ","1","20260819"
"0015","EURO                ","EUR","EURO                ","1","20260819"
"0018","ESCUDO PORTUGAL     ","PTE","ESCUDO PORTUGUEZ    ","1","20260819"
"0020","FLORIN HOLANDA      ","NLG","FLORIN HOLANDES     ","1","20260819"
"0023","FRANCO BELGICA      ","BEF","FRANCO BELGA        ","1","20260819"
"0025","FRANCO FRANCIA      ","FRF","FRANCO FRANCES      ","1","20260819"
"0028","FRANCO SUIZA        ","CHF","FRANCO SUIZO        ","1","20260819"
"0035","LIBRA ESTERLINA UK  ","GBP","LIBRA ESTERLINA     ","1","20260819"
"0040","LIRA ITALIA         ","ITL","LIRA ITALIANA       ","1","20260819"
"0045","MARCO ALEMANIA      ","DEM","MARCO ALEMAN        ","1","20260819"
"0046","MARKKA              ","FIM","MARKKA FINISH       ","1","20260819"
"0050","PESO ARGENTINA      ","ARS","PESO ARGENTINO      ","1","20260819"
"0055","PESO BOLIVIA        ","BOP","PESO BOLIVIANO      ","1","20260819"
"0060","PESO COLOMBIA       ","COP","PESO COLOMBIANO     ","1","20260819"
"0065","PESO MEXICO         ","MXN","PESO MEXICANO       ","1","20260819"
"0068","PESO URUGUAYO       ","UYP","PESO URUGUAYO       ","1","20260819"
"0070","PESETA ESPANA       ","ESP","PESETA ESPANOLA     ","1","20260819"
"0080","RAND SUDAFRICA      ","ZAR","RAND SUDAFRICA      ","1","20260819"
"0090","SUCRE ECUADRO       ","ESS","SUCRE ECUATORIANO   ","1","20260819"
"0095","CORONA NORUEGA      ","NOK","CORONA NORUEGA      ","1","20260819"
"0098","CHELIN AUSTRIA      ","ATS","CHELIN AUSTRIACO    ","1","20260819"
"0099","YEN JAPON           ","JPY","YEN JAPONES         ","1","20260819"
