"locatorid","cod_ubigeo","cod_departamento","desc_departamento","cod_provincia","desc_provincia","cod_distrito","desc_distrito","cod_tipo_zona_courier","desc_tipo_zona_courier","ind_residencia_lima_callao","ind_residencia_lima_moderna","region"
"1559","150902","15","LIMA","1509","OYON","150902","ANDAJES","2091","FUERA DE ZONA","1","0","Lima"
"1566","151002","15","LIMA","1510","YAUYOS","151002","ALIS","2091","FUERA DE ZONA","1","0","Lima"
"1151","120108","12","JUNIN","1201","HUANCAYO","120108","CHONGOS ALTO","2093","PERIFERIA","0","0","Centro Sur"
"1229","120432","12","JUNIN","1204","JAUJA","120432","TUNAN MARCA","2091","FUERA DE ZONA","0","0","Centro Sur"
"167","020907","02","ANCASH","0209","CORONGO","020907","YUPAN","2091","FUERA DE ZONA","0","0","Centro Norte"
"126","020503","02","ANCASH","0205","BOLOGNESI","020503","ANTONIO RAYMONDI","2091","FUERA DE ZONA","0","0","Centro Norte"
"199","021208","02","ANCASH","0212","HUAYLAS","021208","SANTA CRUZ","2091","FUERA DE ZONA","0","0","Centro Norte"
"225","021503","02","ANCASH","0215","PALLASCA","021503","CONCHUCOS","2091","FUERA DE ZONA","0","0","Centro Norte"
"52","010504","01","AMAZONAS","0105","LUYA","010504","COLCAMAR","2091","FUERA DE ZONA","0","0","Centro Norte"
"463","040602","04","AREQUIPA","0406","CONDESUYOS","040602","ANDARAY","2091","FUERA DE ZONA","0","0","Sur"
"722","061001","06","CAJAMARCA","0610","SAN MARCOS","061001","PEDRO GALVEZ","2094","RUTA","0","0","Norte"
"794","080307","08","CUSCO","0803","ANTA","080307","MOLLEPATA","2091","FUERA DE ZONA","0","0","Sur"
"1065","100704","10","HUANUCO","1007","MARAÑON","100704","LA MORADA","SV","SV","0","0","Centro Sur"
"1849","210308","21","PUNO","2103","CARABAYA","210308","OLLACHEA","2091","FUERA DE ZONA","0","0","Sur"
"2066","240302","24","TUMBES","2403","ZARUMILLA","240302","AGUAS VERDES","2094","RUTA","0","0","Norte"
"1456","150139","15","LIMA","1501","LIMA","150139","SANTA ROSA","2094","RUTA","1","0","Lima"
"1506","150608","15","LIMA","1506","HUARAL","150608","PACARAOS","2091","FUERA DE ZONA","1","0","Lima"
"1531","150720","15","LIMA","1507","HUAROCHIRI","150720","SAN JUAN DE TANTARANCHE","2091","FUERA DE ZONA","1","0","Lima"
"1246","120609","12","JUNIN","1206","SATIPO","120609","VIZCATAN DEL ENE","SV","SV","0","0","Centro Sur"
"1238","120601","12","JUNIN","1206","SATIPO","120601","SATIPO","2094","RUTA","0","0","Centro Sur"
"1198","120401","12","JUNIN","1204","JAUJA","120401","JAUJA","2094","RUTA","0","0","Centro Sur"
"224","021502","02","ANCASH","0215","PALLASCA","021502","BOLOGNESI","2091","FUERA DE ZONA","0","0","Centro Norte"
"1292","130201","13","LA LIBERTAD","1302","ASCOPE","130201","ASCOPE","2094","RUTA","0","0","Norte"
"1138","110503","11","ICA","1105","PISCO","110503","HUMAY","2091","FUERA DE ZONA","0","0","Centro Sur"
"1722","190206","19","PASCO","1902","DANIEL ALCIDES CARRION","190206","SANTA ANA DE TUSI","2091","FUERA DE ZONA","0","0","Centro Sur"
"76","010604","01","AMAZONAS","0106","RODRIGUEZ DE MENDOZA","010604","HUAMBO","2091","FUERA DE ZONA","0","0","Centro Norte"
"424","040313","04","AREQUIPA","0403","CARAVELI","040313","YAUCA","2091","FUERA DE ZONA","0","0","Sur"
"2063","240203","24","TUMBES","2402","CONTRALMIRANTE VILLAR","240203","CANOAS DE PUNTA SAL","2094","RUTA","0","0","Norte"
"1155","120114","12","JUNIN","1201","HUANCAYO","120114","EL TAMBO","2092","LOCAL","0","0","Centro Sur"
"547","050604","05","AYACUCHO","0506","LUCANAS","050604","CARMEN SALCEDO","2091","FUERA DE ZONA","0","0","Centro Sur"
"178","021010","02","ANCASH","0210","HUARI","021010","PAUCAS","2091","FUERA DE ZONA","0","0","Centro Norte"
"1320","130605","13","LA LIBERTAD","1306","OTUZCO","130605","HUARANCHAL","2091","FUERA DE ZONA","0","0","Norte"
"1340","130807","13","LA LIBERTAD","1308","PATAZ","130807","ONGON","2091","FUERA DE ZONA","0","0","Norte"
